Rownames;OTU_id;group_name;Sep09;Oct09;Nov09;Dec09;Jan10;Feb10;Mars10;Apr10;May10;June10;Aug10;Sep10;Oct10;Nov10;Dec10;Jan11;Feb11;Mars11;Apr11;May11;June11;;
OTU_98;OTU_98;Chrysochromulinaceae;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_99;OTU_99;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;;
OTU_100;OTU_100;Chrysochromulinaceae;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_101;OTU_101;HAP-3-4-5;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
OTU_102;OTU_102;Prymnesiaceae;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;
OTU_103;OTU_103;Phaeocystales;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;;
OTU_104;OTU_104;Prymnesiaceae;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_105;OTU_105;Pavlovophyceae;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;;
OTU_106;OTU_106;Chrysochromulinaceae;6;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;;
OTU_107;OTU_107;HAP-3-4-5;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
OTU_108;OTU_108;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;;
OTU_109;OTU_109;Calcihaptophycidae;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_110;OTU_110;Calcihaptophycidae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;0;;
OTU_111;OTU_111;Phaeocystales;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_112;OTU_112;Prymnesiaceae;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;;
OTU_113;OTU_113;Calcihaptophycidae;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
OTU_114;OTU_114;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;;
OTU_115;OTU_115;Phaeocystales;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;;
OTU_116;OTU_116;Calcihaptophycidae;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;;
OTU_117;OTU_117;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;;
OTU_118;OTU_118;Prymnesiaceae;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
OTU_119;OTU_119;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
OTU_120;OTU_120;Prymnesiaceae;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_121;OTU_121;HAP-3-4-5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_122;OTU_122;Chrysochromulinaceae;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_123;OTU_123;Prymnesiaceae;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_124;OTU_124;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
OTU_125;OTU_125;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
OTU_126;OTU_126;Phaeocystales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_127;OTU_127;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
OTU_128;OTU_128;Phaeocystales;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_129;OTU_129;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;;
OTU_130;OTU_130;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
OTU_131;OTU_131;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
OTU_132;OTU_132;Phaeocystales;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;
OTU_133;OTU_133;Prymnesiaceae;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_134;OTU_134;HAP-3-4-5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_135;OTU_135;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;;
OTU_136;OTU_136;Pavlovophyceae;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_137;OTU_137;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_138;OTU_138;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_139;OTU_139;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;
OTU_140;OTU_140;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;
OTU_141;OTU_141;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_142;OTU_142;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_143;OTU_143;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_144;OTU_144;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
OTU_145;OTU_145;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_146;OTU_146;Prymnesiaceae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
OTU_147;OTU_147;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;
OTU_148;OTU_148;Chrysochromulinaceae;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_149;OTU_149;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;
OTU_150;OTU_150;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
OTU_151;OTU_151;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
OTU_152;OTU_152;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
OTU_153;OTU_153;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
OTU_154;OTU_154;Pavlovophyceae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
OTU_155;OTU_155;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_156;OTU_156;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;;;;;;;;;
